city,run,window_index,sim_matched_epochs,actual_fix_rate_pct,base_pred_fix_rate_pct,adopted_pred_fix_rate_pct,abs_error_pp,focus_case_tag,focus_case_note,window_action,window_action_note,path1_pred_fix_rate_pct,path1_abs_error_pp
nagoya,run2,2,300.0,85.33333333333334,41.70123505346338,66.68150144285764,18.651831890475705,,,use,usable for route aggregation and normal diagnostics,47.27605048621244,38.0572828471209
nagoya,run2,3,300.0,64.33333333333333,47.55513866683234,68.5090806136992,4.175747280365869,,,use,usable for route aggregation and normal diagnostics,42.90461270592626,21.428720627407067
nagoya,run2,4,266.0,7.518796992481203,9.577914691834604,9.729048339021176,2.210251346539973,,,use,usable for route aggregation and normal diagnostics,7.70647751087725,0.18768051839604727
nagoya,run2,5,300.0,0.0,6.219912901443451,6.334234742581884,6.334234742581884,,,use,usable for route aggregation and normal diagnostics,0.3801521659135526,0.3801521659135526
nagoya,run2,6,300.0,14.666666666666666,12.965557169215018,6.232601836634158,8.434064830032508,,,use,usable for route aggregation and normal diagnostics,14.92593280942804,0.2592661427613745
nagoya,run2,7,275.0,9.090909090909092,5.539574425321275,8.193717928898879,0.8971911620102127,,,use,usable for route aggregation and normal diagnostics,8.515757082808951,0.5751520081001402
nagoya,run2,8,300.0,17.0,3.492184459691361,8.495405484548751,8.504594515451249,,,use,usable for route aggregation and normal diagnostics,24.440615181306217,7.440615181306217
nagoya,run2,9,269.0,11.895910780669144,8.446425106127226,10.613646262275608,1.2822645183935357,,,use,usable for route aggregation and normal diagnostics,13.914619384876014,2.0187086042068696
nagoya,run2,10,265.0,6.415094339622642,8.393849196464998,9.500180440965885,3.0850861013432427,,,use,usable for route aggregation and normal diagnostics,6.186227344366984,0.22886699525565746
nagoya,run2,11,300.0,7.666666666666666,9.912992640053677,9.357089287148748,1.6904226204820816,,,use,usable for route aggregation and normal diagnostics,8.689051095538808,1.022384428872142
nagoya,run2,12,300.0,0.0,15.963166149454832,15.829230451046817,15.829230451046817,,,use,usable for route aggregation and normal diagnostics,0.2008076474684275,0.2008076474684275
nagoya,run2,13,300.0,4.666666666666667,17.431259835236954,20.0,15.333333333333332,,,use,usable for route aggregation and normal diagnostics,9.935316595895817,5.2686499292291495
