source_csv,name,note,extra_args,wall_s,returncode,engine_total_solutions,engine_valid_solutions,engine_fixed_solutions,engine_fix_rate_pct,n_scored,n_rover_epochs,coverage_pct,all_rms_m,fix_rms_m,fix_pct,lt50cm_pct,lt50cm_full_pct,ppc_official_pct,n_fix,n_fix_after_warmup,frac_fix_after_warmup
results/wp6/sweep\sweep_table_full_7d.csv,c7b_jump0_demotepostrms_2.0,,--max-pos-jump 0 --demote-fixed-status-post-rms 2.0,250.0,0,7474.0,7474.0,4200.0,56.19,7474,11928,62.659,18.3617,14.3838,56.195,50.656,31.74,32.881,4200,2932,0.6981
results/wp6/sweep\sweep_table_full_7e.csv,c7b_jump0_demotenis_1,,--max-pos-jump 0 --demote-fixed-status-nis-per-obs 1,279.1,0,7411.0,7411.0,2529.0,34.12,7411,11928,62.131,18.4332,14.9513,34.125,51.086,31.74,32.881,2529,1565,0.6188
results/wp6/sweep\sweep_table_full_7e.csv,c7b_jump0_demotenis_2,,--max-pos-jump 0 --demote-fixed-status-nis-per-obs 2,233.6,0,7474.0,7474.0,3343.0,44.73,7474,11928,62.659,18.3617,13.6016,44.728,50.656,31.74,32.881,3343,2231,0.6674
results/wp6/sweep\sweep_table_full_7f.csv,c7b_jump0_combo_rms1_nis2,,--max-pos-jump 0 --demote-fixed-status-post-rms 1.0 --demote-fixed-status-nis-per-obs 2,281.8,0,7474.0,7474.0,3174.0,42.47,7474,11928,62.659,18.3617,13.8073,42.467,50.656,31.74,32.881,3174,2062,0.6497
results/wp6/sweep\sweep_table_full_8a.csv,c8_jumprate_1,,--max-pos-jump-rate 1.0,303.7,0,7388.0,7388.0,815.0,11.03,7388,11928,61.938,19.8365,0.079,11.031,41.08,25.444,23.199,815,5,0.0061
results/wp6/sweep\sweep_table_full_8a.csv,c8_jumprate_2,,--max-pos-jump-rate 2.0,221.5,0,7464.0,7464.0,819.0,10.97,7464,11928,62.575,18.551,0.0628,10.973,40.729,25.486,23.136,819,9,0.011
results/wp6/sweep\sweep_table_full_8a.csv,c8_jumprate_5,,--max-pos-jump-rate 5.0,223.7,0,7599.0,7599.0,2566.0,33.77,7599,11928,63.707,18.1767,12.4455,33.768,41.782,26.618,17.914,2566,1673,0.652
results/wp6/sweep\sweep_table_full_8b.csv,c8_jumprate_10,,--max-pos-jump-rate 10.0,305.4,0,7472.0,7472.0,4017.0,53.76,7472,11928,62.643,18.648,13.1764,53.761,52.235,32.721,27.407,4017,2924,0.7279
results/wp6/sweep\sweep_table_full_8b.csv,c8_jumprate_20,,--max-pos-jump-rate 20.0,219.9,0,7520.0,7520.0,4498.0,59.81,7520,11928,63.045,17.9662,8.7617,59.814,53.963,34.021,26.172,4498,3661,0.8139
results/wp6/sweep\sweep_table_full_8b.csv,c8_jumprate_30,,--max-pos-jump-rate 30.0,221.4,0,7518.0,7518.0,4511.0,60.0,7518,11928,63.028,18.75,8.8206,60.003,54.057,34.071,25.683,4511,3674,0.8145
results/wp6/sweep\sweep_table_full_8c.csv,c8_jumprate_3,,--max-pos-jump-rate 3.0,263.9,0,7544.0,7544.0,1868.0,24.76,7544,11928,63.246,19.2862,7.5197,24.761,44.645,28.236,24.801,1868,1058,0.5664
results/wp6/sweep\sweep_table_full_8c.csv,c8_jumprate_4,,--max-pos-jump-rate 4.0,213.3,0,7535.0,7535.0,2134.0,28.32,7535,11928,63.171,18.3433,13.5698,28.321,37.147,23.466,18.316,2134,1324,0.6204
