jammer_jnr_db,spoof_delay_samples,building_height_scale,particles_per_epoch,acquisition_backend,interference_backend,route_backend,particle_backend,target_acquired,target_snr,code_phase_error_samples,doppler_error_hz,false_lock,acquisition_miss,interference_detected,interference_kind,max_false_prn_snr,mean_blocked_ratio,max_blocked_ratio,mean_particle_shadow_contrast,worst_epoch,acquisition_ms,interference_ms,route_los_ms,particle_los_ms,total_risk_score,failure_label
8.0,48,1.0,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,7.682897567749023,48.0,500.0,True,False,True,narrowband,2.1048943996429443,0.7527777777777778,0.8,0.09481572433217998,2,14.298530004452914,1.22618000023067,0.2222750335931778,0.4403709899634123,0.8702237212376931,false_lock
8.0,48,1.4,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,7.682897567749023,48.0,500.0,True,False,True,narrowband,2.1048943996429443,0.7527777777777778,0.8,0.09620246995402681,2,14.298530004452914,1.22618000023067,0.22369303042069077,0.25331502547487617,0.8706397449242471,false_lock
8.0,48,1.4,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,7.682897567749023,48.0,500.0,True,False,True,narrowband,2.1048943996429443,0.7527777777777778,0.8,0.10118978316502016,2,14.298530004452914,1.22618000023067,0.21967000793665648,0.4131590249016881,0.8721359388875451,false_lock
8.0,112,0.7,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.744148254394531,112.0,500.0,True,False,True,narrowband,1.9422985315322876,0.7305555555555555,0.8,0.11492757172124264,2,14.365201990585774,1.3187529984861612,0.22242899285629392,0.25630800519138575,0.9646921584131418,false_lock
8.0,112,0.7,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.744148254394531,112.0,500.0,True,False,True,narrowband,1.9422985315322876,0.7305555555555555,0.8,0.10929046946364741,2,14.365201990585774,1.3187529984861612,0.21546200150623918,0.43337501119822264,0.9630010277358634,false_lock
8.0,112,1.0,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.744148254394531,112.0,500.0,True,False,True,narrowband,1.9422985315322876,0.7527777777777778,0.8,0.08708753011889239,2,14.365201990585774,1.3187529984861612,0.26230799267068505,0.26076199719682336,0.9630068125991036,false_lock
8.0,112,1.0,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.744148254394531,112.0,500.0,True,False,True,narrowband,1.9422985315322876,0.7527777777777778,0.8,0.09481572433217998,2,14.365201990585774,1.3187529984861612,0.2222750335931778,0.4403709899634123,0.9653252708630897,false_lock
8.0,112,1.4,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.744148254394531,112.0,500.0,True,False,True,narrowband,1.9422985315322876,0.7527777777777778,0.8,0.09620246995402681,2,14.365201990585774,1.3187529984861612,0.22369303042069077,0.25331502547487617,0.9657412945496439,false_lock
8.0,112,1.4,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.744148254394531,112.0,500.0,True,False,True,narrowband,1.9422985315322876,0.7527777777777778,0.8,0.10118978316502016,2,14.365201990585774,1.3187529984861612,0.21967000793665648,0.4131590249016881,0.9672374885129418,false_lock
8.0,192,0.7,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,10.002674102783203,192.0,500.0,True,False,True,narrowband,1.5097798109054565,0.7305555555555555,0.8,0.11492757172124264,2,14.691344986204058,1.2479819706641138,0.22242899285629392,0.25630800519138575,0.9336449381830394,false_lock
8.0,192,0.7,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,10.002674102783203,192.0,500.0,True,False,True,narrowband,1.5097798109054565,0.7305555555555555,0.8,0.10929046946364741,2,14.691344986204058,1.2479819706641138,0.21546200150623918,0.43337501119822264,0.9319538075057607,false_lock
8.0,192,1.0,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,10.002674102783203,192.0,500.0,True,False,True,narrowband,1.5097798109054565,0.7527777777777778,0.8,0.08708753011889239,2,14.691344986204058,1.2479819706641138,0.26230799267068505,0.26076199719682336,0.9319595923690009,false_lock
8.0,192,1.0,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,10.002674102783203,192.0,500.0,True,False,True,narrowband,1.5097798109054565,0.7527777777777778,0.8,0.09481572433217998,2,14.691344986204058,1.2479819706641138,0.2222750335931778,0.4403709899634123,0.9342780506329873,false_lock
8.0,192,1.4,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,10.002674102783203,192.0,500.0,True,False,True,narrowband,1.5097798109054565,0.7527777777777778,0.8,0.09620246995402681,2,14.691344986204058,1.2479819706641138,0.22369303042069077,0.25331502547487617,0.9346940743195413,false_lock
8.0,192,1.4,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,10.002674102783203,192.0,500.0,True,False,True,narrowband,1.5097798109054565,0.7527777777777778,0.8,0.10118978316502016,2,14.691344986204058,1.2479819706641138,0.21967000793665648,0.4131590249016881,0.9361902682828394,false_lock
16.0,0,0.7,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.649540424346924,1.0,0.0,False,False,True,wideband,1.7231813669204712,0.7305555555555555,0.8,0.11492757172124264,2,14.43590095732361,1.3021570048294961,0.22242899285629392,0.25630800519138575,0.5170910552265346,degraded
16.0,0,0.7,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.649540424346924,1.0,0.0,False,False,True,wideband,1.7231813669204712,0.7305555555555555,0.8,0.10929046946364741,2,14.43590095732361,1.3021570048294961,0.21546200150623918,0.43337501119822264,0.515399924549256,degraded
16.0,0,1.0,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.649540424346924,1.0,0.0,False,False,True,wideband,1.7231813669204712,0.7527777777777778,0.8,0.08708753011889239,2,14.43590095732361,1.3021570048294961,0.26230799267068505,0.26076199719682336,0.5154057094124962,degraded
16.0,0,1.0,64,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.649540424346924,1.0,0.0,False,False,True,wideband,1.7231813669204712,0.7527777777777778,0.8,0.09481572433217998,2,14.43590095732361,1.3021570048294961,0.2222750335931778,0.4403709899634123,0.5177241676764825,degraded
16.0,0,1.4,16,cuda_acquisition,cuda_stft_detector+numpy_power_guard,cuda_bvh_batch,cuda_bvh_batch,True,4.649540424346924,1.0,0.0,False,False,True,wideband,1.7231813669204712,0.7527777777777778,0.8,0.09620246995402681,2,14.43590095732361,1.3021570048294961,0.22369303042069077,0.25331502547487617,0.5181401913630366,degraded
