epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,completion_shadow_candidates,completion_shadow_oracle_min_error_m,n_dd_pr,n_dd_cp
20,553804.0,-3811468.2512258226,3566807.127161279,3652666.0411167447,0,0,0,0,0,1,1,4.359513753373179,2.17353122970509,4.2342337806555,19,0,0.41380108143408434,4.432677198843442,6.224678922680752,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.22652649080820023,1,4.811787891393716,0.09201651533779906,0.39111947338942027,3,4.660313565269315,0.9545247529200792,4.432677198843442,3.1278257037825994,0.41380108143408434,31.3281035856981,0,0.07184602500267581,0,6a1e7e50dc8a564e,512,33.87989731549504,8,12,1,480,11,4,128,0.44022212998624466,342,0,nan,19,17
21,553804.2000000477,-3811468.2762016263,3566807.1477124835,3652666.0704713147,0,0,0,0,0,1,1,4.361312789242255,2.199184144272852,4.260340552251378,19,1,0.41380108143408434,4.461016016307509,6.275493028657989,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.24303055218084496,1,4.860449069201876,0.09601625015702876,0.391211984142329,3,4.657580392023615,0.9673756933466551,4.461016016307509,3.1296622776171215,nan,nan,0,0.07503964139038682,0,6a1e7e50dc8a564e,512,31.332162652194608,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
22,553804.4000000954,-3811468.3232041937,3566807.190374269,3652666.116779394,0,0,0,0,0,1,1,4.364307445372733,2.1996887555492304,4.341755494745182,19,2,0.41380108143408434,4.518888540953368,6.3591978946111345,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.2856983878170886,1,4.9405289513511494,0.09612690963822537,0.3912187791062984,3,4.6581751203311565,0.9675793822570596,4.518888540953368,3.133615782308128,nan,nan,0,0.07511087240240343,0,6a1e7e50dc8a564e,512,31.19866571511136,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
23,553804.599998951,-3811468.384972638,3566807.249667508,3652666.178069575,0,0,0,0,0,1,1,4.364905179779963,2.200565741359045,4.444964421550181,19,3,0.41380108143408434,4.598291171453807,6.465477013478569,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.36002791102428633,1,5.042207033353821,0.09613373922202913,0.39122096366207065,3,4.658249672591977,0.9680257101806986,4.598291171453807,3.1381460194226714,nan,nan,0,0.07511467950327654,0,6a1e7e50dc8a564e,512,31.188408135403836,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
24,553804.7999989986,-3811468.4433766464,3566807.3058876065,3652666.23595854,0,0,0,0,0,1,1,4.365025784408398,2.200978263159855,4.542244326854964,19,4,0.41380108143408434,4.674433012700302,6.565195475604984,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.4417649103014243,1,5.137781544838924,0.09613676142548225,0.3912214365309171,3,4.658245430610677,0.9682278530971353,4.674433012700302,3.1428429254599144,nan,nan,0,0.07511720684070426,0,6a1e7e50dc8a564e,512,31.187235427049803,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
25,553805.0,-3811469.1430459116,3566808.378780037,3652665.242065848,0,0,0,0,1,1,1,6.401727416483428,1.4393177271998117,5.576263921042656,19,0,0.45207347146779936,6.079049261901037,4.9266015250949895,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6246739698023618,0,4.914823237992447,0.07242801842986651,0.11942650811973105,3,6.3600739829291415,1.4062156252336966,6.079049261901037,2.8664917765706495,0.45207347146779936,34.1184370362641,2,0.06374708023403164,0,b3f4525bc8b8f4a5,512,47.427321190627566,8,12,1,480,11,4,128,0.6246739698023618,125,0,nan,19,17
26,553805.2000000477,-3811469.1998369913,3566808.4256508183,3652665.301046837,0,0,0,0,1,1,1,6.3976631502559345,1.436581427233695,5.685037985231231,19,1,0.45207347146779936,6.137242304290757,5.033186008451957,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.697978723772725,0,5.021680159552032,0.074867988910497,0.1197681424916787,3,6.355719653372066,1.4031980603000545,6.137242304290757,2.8685097516386144,nan,nan,0,0.065827169603894,0,b3f4525bc8b8f4a5,512,44.34006325018839,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
27,553805.4000000954,-3811469.2591386302,3566808.4816262787,3652665.3585166847,0,0,0,0,1,1,1,6.39660753654289,1.43571531419273,5.785510162209737,19,2,0.45207347146779936,6.205098567218218,5.129773647023097,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7711230404857102,0,5.118585557153823,0.07496277279164486,0.11977941862179939,3,6.354643758576325,1.4022828083568222,6.205098567218218,2.8728261188560356,nan,nan,0,0.06590419428924661,0,b3f4525bc8b8f4a5,512,44.23010267662701,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
28,553805.599998951,-3811469.281269085,3566808.503256852,3652665.3844249053,0,0,0,0,1,1,1,6.396246145890098,1.434645057758426,5.824694535605474,19,3,0.45207347146779936,6.23036815478936,5.168968225634226,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.8018384400781912,0,5.157889033305464,0.07498530127089219,0.11975637536950051,3,6.354291823619641,1.4011963096593163,6.23036815478936,2.8777679017205555,nan,nan,0,0.06592502428860682,0,b3f4525bc8b8f4a5,512,44.221517846888965,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
29,553805.7999989986,-3811469.289832711,3566808.5094558434,3652665.3944452847,0,0,0,0,1,1,1,6.396149021019671,1.4344877147578672,5.839031602667341,19,4,0.45207347146779936,6.238536922683064,5.18339376518965,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.8144007027744805,0,5.1723403931103284,0.07498778475290661,0.11975233334887293,3,6.354196355687018,1.4010358437214028,6.238536922683064,2.8828893551859838,nan,nan,0,0.06592734411096779,0,b3f4525bc8b8f4a5,512,44.22073164773156,8,0,0,0,0,0,0,nan,-1,0,nan,0,0
