dataset,sigma_pos_tdcp,position_update_sigma,P50,P95,RMS,n_epochs,sigma_pos,n_particles,elapsed_ms,tdcp_elevation_weight,tdcp_el_sin_floor
Shinjuku,1.5,2.5,3.3050196438976047,31.689390923923916,13.79508615029887,20097,2.0,100000,33321.47774496116,False,0.1
Shinjuku,1.5,3.0,3.294486349012287,31.40166456197677,13.722898901997636,20097,2.0,100000,33418.47036592662,False,0.1
Shinjuku,2.0,1.5,3.3815386627177193,32.00133154285064,13.882265310841586,20097,2.0,100000,33428.35908289999,False,0.1
Shinjuku,2.0,1.95,3.320888286534283,31.964686501686547,13.882475273202639,20097,2.0,100000,34559.10723900888,False,0.1
Shinjuku,2.0,2.5,3.2636431552347966,31.69548367225545,13.890054388249157,20097,2.0,100000,37355.10445502587,False,0.1
Shinjuku,2.0,3.0,3.2732354311392213,31.45081361023476,13.769233894730739,20097,2.0,100000,35982.51561797224,False,0.1
Shinjuku,3.0,1.5,3.283826946753687,32.362598591885885,14.1602317817633,20097,2.0,100000,34639.022995950654,False,0.1
Shinjuku,3.0,1.95,3.300000233630315,31.8567562021694,13.884043324596904,20097,2.0,100000,32742.05090396572,False,0.1
Shinjuku,3.0,2.5,3.270949983835743,32.05666491035225,13.930515760887893,20097,2.0,100000,35199.18613601476,False,0.1
Shinjuku,3.0,3.0,3.242263936056936,32.03524175256754,14.026198607225233,20097,2.0,100000,36288.384229061194,False,0.1
