city,run,start_epoch,segment,config,n_epochs,ppc_score_pct,ppc_pass_distance_m,ppc_total_distance_m,ppc_epoch_pass_pct,ppc_pass_epochs,rms_2d,p50,p95,max_2d,wls_ppc_score_pct,wls_rms_2d,tdcp_used_epochs,dd_pr_anchor_epochs,dd_anchor_blend_alpha,widelane_anchor_epochs,rsp_correction_epochs,height_hold_release_min_dd_shift_m,last_velocity_max_age_s
tokyo,run3,774,tokyo/run3@774,dd1_height_release_0.4m_age8s,200,9.168305409174105,15.911893672860439,173.55326816380352,36.0,72,6.151111864969679,0.3893840209181849,14.132719538074697,33.07608320467783,0.0,60.868728569199135,14,171,1.0,111,2,0.4,8.0
tokyo,run3,774,tokyo/run3@774,dd1_height_release_0.4m_age15s,200,9.168305409174105,15.911893672860439,173.55326816380352,44.0,88,6.1511124203854255,0.38938384788499925,14.132719538074697,33.07608320467783,0.0,60.868728569199135,14,174,1.0,114,2,0.4,15.0
nagoya,run1,0,nagoya/run1@0,dd0.3_height_release_0.4m_age8s,200,0.0,0.0,0.007828427283719672,0.5,1,0.6412475800134981,0.64561522241035,0.6578639200641979,0.6659985516236738,0.0,28.281844551527485,199,200,0.3,196,0,0.4,8.0
nagoya,run1,0,nagoya/run1@0,dd0.3_height_release_0.4m_age15s,200,0.0,0.0,0.007828427283719672,0.5,1,0.6412475800134981,0.64561522241035,0.6578639200641979,0.6659985516236738,0.0,28.281844551527485,199,200,0.3,196,0,0.4,15.0
nagoya,run1,0,nagoya/run1@0,dd1_height_release_0.4m_age8s,200,12.773959924139753,0.0010000001639127731,0.007828427283719672,10.0,20,0.6146401349712216,0.6455516970839854,0.6579546767755778,0.7537691268463242,0.0,28.281844551527485,199,200,1.0,196,0,0.4,8.0
nagoya,run1,0,nagoya/run1@0,dd1_height_release_0.4m_age15s,200,12.773959924139753,0.0010000001639127731,0.007828427283719672,10.0,20,0.6146401349712216,0.6455516970839854,0.6579546767755778,0.7537691268463242,0.0,28.281844551527485,199,200,1.0,196,0,0.4,15.0
nagoya,run2,983,nagoya/run2@983,dd0.3_height_release_0.4m_age8s,200,8.75967385111827,14.499523979227734,165.5258429213858,7.0,14,0.5298376798971716,0.35753801645708794,1.526557416970533,1.644941039410626,0.0,71.17289177277253,152,200,0.3,189,0,0.4,8.0
nagoya,run2,983,nagoya/run2@983,dd0.3_height_release_0.4m_age15s,200,8.75967385111827,14.499523979227734,165.5258429213858,7.0,14,0.5298376798971716,0.35753801645708794,1.526557416970533,1.644941039410626,0.0,71.17289177277253,152,200,0.3,189,0,0.4,15.0
nagoya,run2,983,nagoya/run2@983,dd1_height_release_0.4m_age8s,200,7.34813916847603,12.163069297656458,165.5258429213858,6.0,12,0.5527723910999602,0.3612480845657173,1.5619268439872962,1.6449410348306228,0.0,71.17289177277253,152,200,1.0,193,0,0.4,8.0
nagoya,run2,983,nagoya/run2@983,dd1_height_release_0.4m_age15s,200,7.34813916847603,12.163069297656458,165.5258429213858,6.0,12,0.5527723910999602,0.3612480845657173,1.5619268439872962,1.6449410348306228,0.0,71.17289177277253,152,200,1.0,193,0,0.4,15.0
nagoya,run3,235,nagoya/run3@235,dd0.3_height_release_0.4m_age8s,200,0.0,0.0,338.29818085480457,0.0,0,2.5242667408129393,2.6074647279289564,3.417083426079657,3.7905100775578795,0.0,59.791073504314824,56,199,0.3,114,1,0.4,8.0
nagoya,run3,235,nagoya/run3@235,dd0.3_height_release_0.4m_age15s,200,0.0,0.0,338.29818085480457,0.0,0,2.5242667408129393,2.6074647279289564,3.417083426079657,3.7905100775578795,0.0,59.791073504314824,56,199,0.3,114,1,0.4,15.0
nagoya,run3,235,nagoya/run3@235,dd1_height_release_0.4m_age8s,200,1.1750134507689218,3.9750491287505274,338.29818085480457,1.0,2,2.204032433435492,2.3559580566412324,3.4160502967876436,3.790510069758795,0.0,59.791073504314824,56,199,1.0,118,0,0.4,8.0
nagoya,run3,235,nagoya/run3@235,dd1_height_release_0.4m_age15s,200,1.1750134507689218,3.9750491287505274,338.29818085480457,1.0,2,2.204032433435492,2.3559580566412324,3.4160502967876436,3.790510069758795,0.0,59.791073504314824,56,199,1.0,118,0,0.4,15.0
