backend,blocked_epoch_frac,blocked_threshold,catastrophic_rate_pct,city,disagreement_threshold_m,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,mean_blocked_score,mean_disagreement_m,mean_positive_score,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,positive_threshold,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
GPU-hybrid,0.260000,0.000000,0.000000,tokyo,80.000000,57.000000,11.199999,128.683579,90.345672,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.25,d=80)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.250000,98.368676,107.940943,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.140000,0.000000,0.000000,tokyo,80.000000,59.000000,11.600000,119.972764,97.529664,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.25,d=80)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.250000,100.195704,108.218832,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.000000,0.000000,0.000000,nagoya,80.000000,0.000000,0.000000,83.852531,73.947469,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.25,d=80)",100,0.066667,0.000000,75.074592,76.288202,80.392926,0.250000,74.062776,77.412613,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.280000,0.000000,0.000000,tokyo,0.000000,57.000000,11.199999,128.683579,90.029054,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.5,d=0)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.500000,98.235344,107.773775,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.170000,0.000000,0.000000,tokyo,0.000000,59.000000,11.600000,119.972764,97.525443,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.5,d=0)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.500000,100.182220,108.297464,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.090000,0.000000,0.000000,nagoya,0.000000,0.000000,0.000000,96.843405,75.524203,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.5,d=0)",100,0.066667,0.000000,75.103069,77.109118,95.464543,0.500000,75.867501,79.523933,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.280000,0.000000,0.000000,tokyo,5.000000,57.000000,11.199999,128.683579,90.029054,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.5,d=5)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.500000,98.235344,107.773775,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.170000,0.000000,0.000000,tokyo,5.000000,59.000000,11.600000,119.972764,97.525443,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.5,d=5)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.500000,100.182220,108.297464,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.090000,0.000000,0.000000,nagoya,5.000000,0.000000,0.000000,96.843405,75.524203,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.5,d=5)",100,0.066667,0.000000,75.103069,77.109118,95.464543,0.500000,75.867501,79.523933,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.280000,0.000000,0.000000,tokyo,10.000000,57.000000,11.199999,128.683579,90.029054,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.5,d=10)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.500000,98.235344,107.773775,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.160000,0.000000,0.000000,tokyo,10.000000,59.000000,11.600000,119.972764,97.560355,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.5,d=10)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.500000,100.207448,108.311835,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.090000,0.000000,0.000000,nagoya,10.000000,0.000000,0.000000,96.843405,75.524203,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.5,d=10)",100,0.066667,0.000000,75.103069,77.109118,95.464543,0.500000,75.867501,79.523933,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.270000,0.000000,0.000000,tokyo,20.000000,57.000000,11.199999,128.683579,90.072205,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.5,d=20)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.500000,98.258713,107.812145,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.150000,0.000000,0.000000,tokyo,20.000000,59.000000,11.600000,119.972764,97.625919,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.5,d=20)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.500000,100.252057,108.330801,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.080000,0.000000,0.000000,nagoya,20.000000,0.000000,0.000000,96.843405,75.522229,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.5,d=20)",100,0.066667,0.000000,75.103069,77.109118,95.464543,0.500000,75.865317,79.592473,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.270000,0.000000,0.000000,tokyo,40.000000,57.000000,11.199999,128.683579,90.072205,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.5,d=40)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.500000,98.258713,107.812145,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.140000,0.000000,0.000000,tokyo,40.000000,59.000000,11.600000,119.972764,97.720683,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.5,d=40)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.500000,100.315170,108.353179,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.080000,0.000000,0.000000,nagoya,40.000000,0.000000,0.000000,96.843405,75.522229,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.5,d=40)",100,0.066667,0.000000,75.103069,77.109118,95.464543,0.500000,75.865317,79.592473,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
