epoch,error_2d,posterior_std_2d,posterior_std_x,posterior_std_y,posterior_std_z,kurtosis_2d,ess,n_sat
132,20179.8678,5.9943,14.2345,16.8128,6.1726,235.8486,10000.0,13
133,20180.0607,8.5864,13.3149,16.2817,5.7413,65.5224,10000.0,13
134,20179.8551,9.9730,12.3323,14.8144,5.4325,35.2005,10000.0,13
135,20179.3277,10.5269,12.0493,14.3064,5.6542,29.8735,10000.0,13
136,20178.8202,10.9188,12.5229,14.1755,5.7510,27.5632,10000.0,13
137,20178.0248,11.1758,13.3156,14.5830,5.6357,29.2897,10000.0,13
138,20177.6991,10.5905,13.0296,14.6336,5.4984,32.2504,10000.0,13
139,20178.6831,9.7487,12.8235,14.2852,4.9363,37.4885,10000.0,13
140,20180.4861,9.0707,12.4296,14.4515,4.8980,41.9798,10000.0,13
141,20181.5887,7.3534,12.7747,15.8050,5.1690,89.7660,10000.0,13
142,20182.0006,5.5229,12.8603,17.1886,5.7219,285.1533,10000.0,13
143,20182.2562,6.1968,13.0685,16.2304,6.8261,171.2359,10000.0,13
144,20182.1028,7.4113,13.0941,15.4004,6.7339,86.4126,10000.0,12
145,20181.6258,7.9555,12.6691,15.4331,7.4796,67.6718,10000.0,12
146,20181.4881,8.3557,12.3735,15.3653,8.5403,56.5254,10000.0,12
147,20181.2306,8.2966,11.7915,15.0516,9.1974,52.2655,10000.0,12
148,20181.0773,8.4487,11.4601,14.4897,8.6410,46.0586,10000.0,12
149,20181.1079,8.1736,10.9818,13.6561,8.4518,44.4507,10000.0,12
150,20180.7374,8.2319,10.6790,13.7849,8.1006,43.1657,10000.0,12
151,20180.2465,7.8336,10.4816,14.4473,8.5703,51.5452,10000.0,12
152,20180.2113,7.2960,10.4705,14.0131,9.2955,59.7465,10000.0,12
153,20180.8601,7.6204,10.8068,13.0315,8.9841,48.8693,10000.0,12
154,20181.5835,7.7443,10.1979,11.6835,8.5206,37.8171,10000.0,12
155,20182.2587,7.6222,9.6580,11.6837,8.6054,34.0006,10000.0,12
156,20182.4339,7.8129,9.6812,12.2408,8.2490,33.8850,10000.0,12
157,20182.3998,7.5245,10.5820,14.4921,8.0494,50.3108,10000.0,12
158,20182.2201,6.9578,11.2496,15.7871,7.4009,83.0902,10000.0,12
159,20182.2888,6.3387,11.6678,17.3695,6.2684,158.8343,10000.0,12
160,20181.9875,7.1446,11.5955,18.5420,5.4263,125.3023,10000.0,13
161,20181.8916,7.8146,11.6664,20.3113,5.4633,113.0786,10000.0,13
162,20181.4488,8.5099,11.8810,21.3217,5.6068,92.6310,10000.0,13
163,20181.5054,8.8909,12.0856,21.4756,5.7390,79.3671,10000.0,13
164,20181.5078,8.9819,12.1620,21.1940,6.1774,75.2319,10000.0,13
165,20181.8220,8.0722,11.5579,20.4120,6.4694,100.1104,10000.0,13
166,20182.0862,9.4739,9.9373,18.4805,6.1059,49.8987,10000.0,13
167,20182.4441,10.5813,9.0204,16.0364,5.8592,27.1403,10000.0,13
168,20182.9020,10.1095,8.0324,12.6527,5.4951,22.6134,10000.0,13
169,20183.1112,9.0763,7.2013,10.7417,4.9482,27.1011,10000.0,13
170,20183.3380,8.3074,6.9663,9.8069,4.9418,32.2115,10000.0,13
171,20183.8275,7.2927,7.2797,8.5920,4.9990,42.9605,10000.0,13
172,20184.9709,6.4854,7.3526,7.6977,4.8836,50.4939,10000.0,13
173,20185.8041,7.1267,7.5464,8.3770,4.7898,47.1703,10000.0,13
174,20186.1854,6.9741,7.5457,8.3605,4.9477,48.7366,10000.0,13
175,20186.4497,6.0094,7.8257,7.6269,4.8264,52.2431,10000.0,13
176,20186.2375,5.7156,8.2127,7.5864,5.1297,50.6444,10000.0,13
177,20185.6727,5.6430,8.5200,7.5227,5.6310,46.1476,10000.0,13
178,20186.0955,5.3723,8.5237,6.8562,5.7026,38.5891,10000.0,14
179,20186.1977,5.5409,8.5546,6.3784,5.7475,35.1924,10000.0,14
180,20185.7373,5.9670,9.2333,6.4403,5.7967,34.8257,10000.0,12
181,20185.4320,6.1513,9.5165,7.9405,6.0672,37.2038,10000.0,12
182,20185.4744,6.3375,10.3090,10.2586,6.3739,50.1692,10000.0,12
183,20186.1794,5.8376,10.8986,11.6597,6.9931,84.1505,10000.0,12
184,20188.2593,5.3304,10.7529,12.0860,7.1333,118.1095,10000.0,12
185,20189.4946,5.6112,10.2404,12.9195,7.1635,118.0100,10000.0,12
186,20193.0221,7.4996,9.0602,11.8314,6.6127,38.3924,10000.0,12
187,20194.8007,8.0858,9.0888,11.2801,6.2534,29.7404,10000.0,12
188,20195.4649,8.3523,9.4033,11.4762,6.5470,29.3527,10000.0,12
189,20195.4153,8.0909,9.5826,11.3419,6.9846,30.7188,10000.0,12
190,20195.2668,7.8129,9.5624,10.5987,7.1767,29.4339,10000.0,12
191,20195.2168,7.8221,9.9713,9.5052,6.7212,25.9729,10000.0,12
192,20194.9013,7.4770,9.8022,10.0788,6.8119,29.7680,10000.0,12
193,20195.4577,7.2748,9.6114,10.4804,6.3820,33.3007,10000.0,12
194,20196.1929,7.2370,8.9788,10.5342,6.3562,34.6299,10000.0,12
195,20196.1588,6.8133,8.7919,10.5126,6.4193,39.5040,10000.0,12
196,20196.1589,7.0455,8.2200,10.4722,6.8552,35.4580,10000.0,12
197,20197.7238,6.9978,7.9192,9.8794,6.8494,33.3906,10000.0,12
198,20199.6257,6.6619,7.6840,9.5303,6.4569,33.3146,10000.0,12
199,20199.6320,6.4253,7.3882,9.0311,6.6485,33.0574,10000.0,12
200,20199.6364,6.0913,7.2252,8.6434,7.1979,35.3434,10000.0,12
201,20199.9690,6.6990,7.4510,9.9137,6.9996,32.6377,10000.0,12
202,20199.9877,7.0129,8.0126,11.4474,7.0655,35.9355,10000.0,12
203,20200.3763,7.3396,8.1212,12.0936,7.4811,36.6187,10000.0,12
204,20200.7321,7.6382,8.2524,13.7514,6.9938,40.3097,10000.0,12
205,20201.2629,7.8234,8.2068,14.5928,6.3754,41.3190,10000.0,12
206,20201.1876,8.1386,8.0500,14.3347,6.1220,35.8477,10000.0,12
207,20201.1170,8.3437,7.7708,14.2110,5.8587,33.2929,10000.0,12
208,20201.2203,8.3526,7.1142,12.3803,5.6378,27.6158,10000.0,12
209,20201.2711,8.1359,6.9053,12.5796,5.7031,29.0680,10000.0,12
210,20201.5929,7.9448,6.8750,13.4493,5.7270,33.7527,10000.0,12
211,20201.8245,7.0930,6.5360,13.9082,5.1211,44.7546,10000.0,12
212,20201.9525,7.1443,6.2797,14.3524,4.9865,46.9054,10000.0,12
213,20203.7181,7.4935,6.1015,14.3215,5.1583,43.2080,10000.0,12
214,20205.4137,7.5777,5.9157,14.2574,4.8466,44.5435,10000.0,12
215,20206.8913,7.6534,5.8103,13.9165,4.5470,41.0342,10000.0,12
216,20208.0088,8.7235,5.2853,14.2512,4.0282,30.4545,10000.0,12
217,20209.7814,7.7455,4.3504,9.8653,3.8399,29.5408,10000.0,12
218,20210.3117,4.9196,4.5296,6.2432,3.9652,52.7511,10000.0,12
219,20210.3649,4.4039,4.3791,5.9495,3.9202,60.3063,10000.0,12
220,20210.4065,3.6495,4.5561,5.5810,4.3728,51.6223,10000.0,12
221,20210.4163,3.7995,5.1434,6.1203,4.6157,56.0486,10000.0,12
222,20209.8075,4.5564,5.5533,7.4170,4.8492,60.3985,10000.0,12
223,20209.5359,6.7019,5.1498,10.3007,5.1704,35.5499,10000.0,12
224,20209.2990,8.1648,5.2677,12.6773,5.7335,25.5346,10000.0,12
225,20209.5664,8.0908,5.4941,12.3917,6.0322,24.7503,10000.0,12
226,20209.2253,8.0330,5.2894,12.7371,6.4680,25.8052,10000.0,12
227,20208.6473,8.2308,5.7218,14.1514,6.8436,27.5569,10000.0,12
228,20208.2930,7.9928,5.8933,16.2048,7.3945,37.7959,10000.0,12
229,20207.6893,7.8989,6.2342,18.0873,8.1301,52.7656,10000.0,12
230,20206.8862,8.0582,6.5797,19.6197,9.1748,64.5026,10000.0,12
231,20207.2137,8.6521,7.0568,19.3677,9.2111,54.7303,10000.0,12
232,20207.0158,9.2193,7.1333,19.3660,9.0246,48.0851,10000.0,12
233,20205.8436,10.1404,6.0483,18.8530,8.7502,33.1021,10000.0,12
234,20204.4142,10.6508,5.3855,19.0733,8.3356,28.3494,10000.0,12
235,20204.8780,11.2537,4.7250,17.8982,8.7314,21.2436,10000.0,12
236,20206.3143,11.4012,4.5295,16.1992,10.3821,19.7490,10000.0,12
237,20206.9697,11.4051,4.5335,15.5108,10.7051,20.5452,10000.0,12
238,20207.6257,9.4311,4.4311,13.3134,10.0186,32.7880,10000.0,12
239,20206.7974,8.0364,4.7140,11.7097,9.0026,43.3111,10000.0,12
240,20206.7246,7.7401,5.0054,11.5565,9.3050,46.9891,10000.0,12
241,20206.2374,6.9864,5.0568,10.9625,10.0240,53.0467,10000.0,12
242,20207.1055,5.8622,4.6211,10.6356,10.5008,50.6220,10000.0,12
243,20208.4354,6.2129,4.7370,11.9549,11.6045,56.8351,10000.0,12
244,20209.7405,6.5984,4.8921,12.3778,12.5142,47.5890,10000.0,12
245,20208.5353,7.0039,4.9938,12.5501,12.9170,40.6028,10000.0,12
246,20210.1488,7.0627,5.3219,13.2748,14.8409,40.7241,10000.0,12
247,20212.1617,6.8740,5.1709,12.7378,18.0453,39.2009,10000.0,12
248,20213.6616,5.8880,4.9667,10.6220,20.5336,40.6098,10000.0,12
249,20214.6637,5.4617,4.8211,10.3639,20.9996,45.2082,10000.0,12
250,20213.9910,5.3987,4.9597,10.2084,21.5682,47.5658,10000.0,12
251,20213.6873,5.6433,5.0070,9.8280,22.3590,45.4804,10000.0,12
252,20213.5457,5.2247,4.7470,9.3864,22.9280,49.9144,10000.0,12
253,20213.3644,4.6625,4.7331,8.5805,23.0780,53.7517,10000.0,12
254,20212.5968,4.6262,4.7095,8.3241,23.2621,48.5625,10000.0,12
255,20210.6026,4.4051,4.7406,8.2077,22.7458,49.5174,10000.0,12
256,20209.6792,4.4933,5.0026,8.0499,22.0669,46.6680,10000.0,12
257,20211.3081,4.5733,5.2807,8.4490,23.3751,46.9385,10000.0,12
258,20213.8573,4.7896,5.2373,9.1993,25.0276,46.9515,10000.0,12
259,20214.8750,4.8309,5.3383,9.4368,25.4673,46.1043,10000.0,12
260,20211.5245,4.9239,5.4243,9.5519,26.9905,45.7293,10000.0,12
261,20207.4168,4.8827,5.5202,9.5355,27.7124,46.5241,10000.0,12
262,20209.5179,4.9895,5.1877,10.4242,27.8189,51.3620,10000.0,12
263,20211.8589,5.6271,5.1846,11.1744,27.9155,44.8238,10000.0,12
264,20213.6816,6.4921,5.4900,11.9274,28.1139,36.5418,10000.0,12
265,20212.9205,6.9991,5.5205,11.9217,27.9116,32.4321,10000.0,12
266,20214.0115,7.0580,5.2931,11.9704,28.8514,30.3270,10000.0,12
267,20214.0737,6.6793,5.3196,11.8465,28.5868,32.6282,10000.0,12
268,20213.3413,7.0688,5.4555,12.3180,28.6910,31.2000,10000.0,12
269,20210.9497,6.8248,5.8660,12.0791,29.1032,34.4939,10000.0,12
270,20205.1387,6.5159,6.0339,11.2489,29.2819,34.4640,10000.0,12
271,20203.3128,6.4152,6.0978,9.9416,28.0453,29.5358,10000.0,12
272,20203.3549,5.6129,6.2751,8.6764,24.4096,39.8390,10000.0,12
273,20202.4533,5.0750,6.2592,7.7861,21.6725,43.4990,10000.0,12
274,20200.9578,4.3619,6.0448,7.0469,20.1255,46.7086,10000.0,12
275,20200.8378,4.0004,6.0740,6.7311,20.3945,50.1060,10000.0,12
276,20199.5779,4.0927,5.9404,6.8378,18.7640,45.6480,10000.0,12
277,20197.0080,4.0637,5.8766,6.8524,15.6097,47.9525,10000.0,12
278,20196.0622,4.0411,5.9299,7.0601,13.8606,51.0295,10000.0,12
279,20195.6200,3.9159,5.9598,7.3879,12.2794,60.8324,10000.0,12
280,20196.2700,3.9989,6.6545,7.1920,14.1586,60.0346,10000.0,12
281,20197.4002,4.1568,7.3270,7.4868,16.2878,64.7233,10000.0,12
282,20197.7634,4.1608,7.6215,7.8657,17.4217,77.7017,10000.0,13
283,20196.8207,4.1096,8.0734,7.8473,16.9586,89.7412,10000.0,13
284,20196.9367,4.2562,7.9459,8.0856,17.8351,81.6094,10000.0,13
285,20196.2588,4.7712,7.4853,8.7228,17.9264,60.8896,10000.0,13
286,20197.0721,5.4789,7.4811,8.3022,18.5792,38.0515,10000.0,13
287,20198.8714,5.8608,7.7650,8.4573,20.1027,34.7342,10000.0,13
