epoch,error_2d,error_3d,est_x,est_y,est_z
59,54.795060,56.242971,-3961785.398838,3348955.805636,3698316.715256
60,54.831759,56.297743,-3961785.363339,3348955.733618,3698316.673139
61,54.573909,56.290364,-3961784.852201,3348955.464936,3698315.689187
62,54.744859,56.469001,-3961784.681490,3348955.269385,3698315.956781
63,55.423787,56.945531,-3961784.980778,3348955.038417,3698317.167114
64,56.001568,57.597766,-3961785.009549,3348954.375010,3698317.064652
65,56.126477,57.889193,-3961784.761957,3348953.953429,3698316.487986
66,56.055051,58.449017,-3961783.657458,3348952.878643,3698314.545125
67,63.599172,67.775402,-3961782.471005,3348942.871924,3698313.030645
68,57.086594,61.734335,-3961779.731277,3348948.445866,3698310.797392
69,55.353988,60.461817,-3961778.441138,3348949.540707,3698309.773165
70,54.681413,59.960797,-3961778.032501,3348950.038305,3698309.277230
71,54.666070,59.943049,-3961777.884417,3348950.086385,3698309.404010
72,54.816480,59.998721,-3961777.845182,3348950.083182,3698309.788269
73,55.426812,60.413011,-3961778.194640,3348949.792504,3698310.289328
74,55.985467,60.554423,-3961778.908914,3348949.870594,3698311.094902
75,55.839237,60.282494,-3961778.779933,3348950.208594,3698311.535218
76,55.415865,60.062595,-3961777.913223,3348950.333882,3698311.565214
77,55.158940,60.286736,-3961776.952277,3348950.015748,3698310.879648
78,54.964935,60.444012,-3961775.992727,3348949.796474,3698310.703003
79,55.098591,60.514924,-3961775.570651,3348949.762776,3698311.386016
80,54.896671,60.189212,-3961775.355980,3348950.183618,3698311.832506
81,54.601304,59.653344,-3961775.278063,3348950.854352,3698312.432087
82,53.992328,58.983454,-3961775.188476,3348951.673564,3698312.264893
83,53.500751,58.469185,-3961775.116587,3348952.354350,3698312.003929
84,52.792250,57.732087,-3961774.888533,3348953.247490,3698311.811890
85,52.423583,57.168194,-3961774.673976,3348953.962238,3698312.366359
86,52.046652,56.825989,-3961774.269754,3348954.419768,3698312.381734
87,51.728642,56.793991,-3961773.377630,3348954.482701,3698312.196885
88,51.269561,56.238077,-3961773.123979,3348955.218788,3698312.391852
89,51.179555,56.307737,-3961772.406204,3348955.240374,3698312.522800
90,51.200592,56.279602,-3961771.820255,3348955.369373,3698313.214808
91,46.265403,47.298815,-3961781.897148,3348968.724230,3698313.697646
92,45.631643,45.635462,-3961788.852592,3348975.846672,3698315.754734
