label,group,value,n_epochs,ppc_pass_epochs,ppc_epoch_pass_pct,mean_error_3d_m,median_error_3d_m,p95_error_3d_m,median_dd_shift_m,median_dd_robust_rms_m
dd1_age15,last_velocity_used,true,142,0,0.0,12.647410464947436,9.105953589709506,31.143209365471904,6.699106437068698,0.7071067811865476
dd1_age15,last_velocity_used,false,58,0,0.0,29.888536682023876,30.301710018369878,31.85026242113552,23.543506657372745,0.750821620788442
dd1_age15,dd_pr_anchor_used,true,101,0,0.0,12.776788415702129,8.794682467678754,30.578215986570775,1.620386294582902,0.6436728680679938
dd1_age15,dd_pr_anchor_used,false,99,0,0.0,22.616280642363694,29.735676938178788,31.83309504587011,15.139387223507416,0.7559289460184544
dd1_age15,high_dd_blend,true,101,0,0.0,12.776788415702129,8.794682467678754,30.578215986570775,1.620386294582902,0.6436728680679938
dd1_age15,high_dd_blend,false,99,0,0.0,22.616280642363694,29.735676938178788,31.83309504587011,15.139387223507416,0.7559289460184544
dd1_age15,widelane_anchor_used,true,15,0,0.0,11.638698757534929,1.4695690024043158,27.94382025900818,2.8975543036695233,0.6183181545979141
dd1_age15,widelane_anchor_used,false,185,0,0.0,18.134523957929172,19.429054727064393,31.742412104356816,11.651847700944082,0.7301586124944134
dd1_age15,rsp_correction_used,true,0,0,0.0,nan,nan,nan,nan,nan
dd1_age15,rsp_correction_used,false,200,0,0.0,17.647337067899603,19.202571984169783,31.716201181872375,11.39100490367883,0.713577842211842
dd1_age15,height_released,true,136,0,0.0,11.911698764124141,8.744491027849161,31.043045490369252,8.253253295770541,0.7078421292593419
dd1_age15,height_released,false,64,0,0.0,29.83556846342246,30.301567919254822,31.847001209853737,22.232327713113968,0.7276131803423742
ddhi_shift3_age15,tdcp_used,true,35,0,0.0,29.943554141499057,30.30584117768667,31.850889395698758,23.330596414215627,0.7099897859159257
ddhi_shift3_age15,tdcp_used,false,165,1,0.6060606060606061,14.644795766906398,10.12174547874623,31.78026049127226,8.510554944888042,0.7071067811865476
ddhi_shift3_age15,last_velocity_used,true,142,1,0.704225352112676,11.592463965032415,8.825316386951613,30.385303691913442,6.1365564041537155,0.6886426441931864
ddhi_shift3_age15,last_velocity_used,false,58,0,0.0,31.349755404438273,30.520147772121746,42.87020189791711,24.609416968460337,0.726523701073447
ddhi_shift3_age15,dd_pr_anchor_used,true,97,1,1.0309278350515463,12.342156419794453,7.900377975342662,30.39470798038199,2.3776389342340702,0.6169067837277019
ddhi_shift3_age15,dd_pr_anchor_used,false,103,0,0.0,22.01190799778602,24.617346051484148,31.857284820691035,15.564867674249617,0.7559289460184544
ddhi_shift3_age15,high_dd_blend,true,29,0,0.0,16.43015501618814,16.649960444106966,30.506907381156704,26.604332958840832,0.6020310008688736
ddhi_shift3_age15,high_dd_blend,false,171,1,0.5847953216374269,17.473340356857115,15.106667511556,31.845960979048854,8.518590994409731,0.7240638560586335
ddhi_shift3_age15,widelane_anchor_used,true,14,0,0.0,10.61625650322145,1.4325737880414,28.00986253144939,2.0172881545098984,0.6038543635737583
ddhi_shift3_age15,widelane_anchor_used,false,186,1,0.5376344086021505,17.826817771220014,15.569350349768808,31.83973330783536,10.638910891643178,0.7095458367103425
ddhi_shift3_age15,rsp_correction_used,true,1,0,0.0,27.197216413173475,27.197216413173475,27.197216413173475,1.0350915126572455,0.5298430917548484
ddhi_shift3_age15,rsp_correction_used,false,199,1,0.5025125628140703,17.27245467376306,15.106667511556,31.83309506140834,10.578483508954074,0.7071067811865476
ddhi_shift3_age15,height_released,true,139,1,0.7194244604316546,11.209180271528437,8.65228771716686,30.319065719663325,6.2180674792307205,0.6941785180947775
ddhi_shift3_age15,height_released,false,61,0,0.0,31.25146948769787,30.444216084700123,42.76246085378857,23.756416902867286,0.7152852501215661
