dataset,tdcp_rms_threshold,sigma_pos_tdcp,position_update_sigma,P50,P95,RMS,n_epochs,n_tdcp_used,n_tdcp_fallback,sigma_pos,n_particles,elapsed_ms
Odaiba,5.0,3.0,1.95,1.6892246173518681,12.76962178217618,6.250445874905676,12228,3616,0,2.0,100000,19430.87460298557
Odaiba,8.0,1.0,1.5,1.7213006471071752,12.956590494891058,6.406005236575288,12228,3616,0,2.0,100000,21578.966797911562
Odaiba,8.0,1.0,1.95,1.7386405633510238,12.645308587564006,6.249682658158327,12228,3616,0,2.0,100000,19074.831829988398
Odaiba,8.0,1.5,1.5,1.6910159474520605,12.78628341121807,6.303110662449894,12228,3616,0,2.0,100000,18106.09493299853
Odaiba,8.0,1.5,1.95,1.7319861116300994,12.675835673347523,6.291845517819087,12228,3616,0,2.0,100000,18491.761323064566
Odaiba,8.0,2.0,1.5,1.7102514910867466,12.870838628866839,6.371782036447852,12228,3616,0,2.0,100000,18449.06164892018
Odaiba,8.0,2.0,1.95,1.7052953196055645,12.760687569065663,6.292056837734809,12228,3616,0,2.0,100000,20961.746262968518
Odaiba,8.0,3.0,1.5,1.672247532690924,12.923239944154943,6.4237466225304525,12228,3616,0,2.0,100000,24273.026359034702
Odaiba,8.0,3.0,1.95,1.6892246173518681,12.76962178217618,6.250445874905676,12228,3616,0,2.0,100000,18893.408000003546
Shinjuku,1.0,1.0,1.5,3.597195712079402,31.59034175932232,13.739300850948883,20097,5275,0,2.0,100000,55971.5823919978
Shinjuku,1.0,1.0,1.95,3.4450084729448385,31.4775356710148,13.732375335875597,20097,5275,0,2.0,100000,30801.61148495972
Shinjuku,1.0,1.5,1.5,3.283273000012638,32.041359693766886,13.860721109771262,20097,5275,0,2.0,100000,26530.903942068107
Shinjuku,1.0,1.5,1.95,3.294372566679731,31.84854658071334,13.777084129386933,20097,5275,0,2.0,100000,27053.286160924472
Shinjuku,1.0,2.0,1.5,3.3815386627177193,32.00133154285064,13.882265310841586,20097,5275,0,2.0,100000,26666.78723297082
Shinjuku,1.0,2.0,1.95,3.320888286534283,31.964686501686547,13.882475273202639,20097,5275,0,2.0,100000,27014.336906024255
Shinjuku,1.0,3.0,1.5,3.283826946753687,32.362598591885885,14.1602317817633,20097,5275,0,2.0,100000,26713.314081076533
Shinjuku,1.0,3.0,1.95,3.300000233630315,31.8567562021694,13.884043324596904,20097,5275,0,2.0,100000,27492.579920915887
Shinjuku,2.0,1.0,1.5,3.597195712079402,31.59034175932232,13.739300850948883,20097,5275,0,2.0,100000,27585.291460040025
Shinjuku,2.0,1.0,1.95,3.4450084729448385,31.4775356710148,13.732375335875597,20097,5275,0,2.0,100000,26826.80315990001
Shinjuku,2.0,1.5,1.5,3.283273000012638,32.041359693766886,13.860721109771262,20097,5275,0,2.0,100000,26817.932759062387
Shinjuku,2.0,1.5,1.95,3.294372566679731,31.84854658071334,13.777084129386933,20097,5275,0,2.0,100000,28576.39030693099
Shinjuku,2.0,2.0,1.5,3.3815386627177193,32.00133154285064,13.882265310841586,20097,5275,0,2.0,100000,27983.30702993553
Shinjuku,2.0,2.0,1.95,3.320888286534283,31.964686501686547,13.882475273202639,20097,5275,0,2.0,100000,27562.312080990523
Shinjuku,2.0,3.0,1.5,3.283826946753687,32.362598591885885,14.1602317817633,20097,5275,0,2.0,100000,28536.875498946756
Shinjuku,2.0,3.0,1.95,3.300000233630315,31.8567562021694,13.884043324596904,20097,5275,0,2.0,100000,30236.543916049413
Shinjuku,3.0,1.0,1.5,3.597195712079402,31.59034175932232,13.739300850948883,20097,5275,0,2.0,100000,30528.45227497164
Shinjuku,3.0,1.0,1.95,3.4450084729448385,31.4775356710148,13.732375335875597,20097,5275,0,2.0,100000,29780.75724991504
Shinjuku,3.0,1.5,1.5,3.283273000012638,32.041359693766886,13.860721109771262,20097,5275,0,2.0,100000,27701.34622103069
Shinjuku,3.0,1.5,1.95,3.294372566679731,31.84854658071334,13.777084129386933,20097,5275,0,2.0,100000,26837.70187292248
Shinjuku,3.0,2.0,1.5,3.3815386627177193,32.00133154285064,13.882265310841586,20097,5275,0,2.0,100000,27772.184053086676
Shinjuku,3.0,2.0,1.95,3.320888286534283,31.964686501686547,13.882475273202639,20097,5275,0,2.0,100000,29069.046663935296
Shinjuku,3.0,3.0,1.5,3.283826946753687,32.362598591885885,14.1602317817633,20097,5275,0,2.0,100000,27650.34185501281
Shinjuku,3.0,3.0,1.95,3.300000233630315,31.8567562021694,13.884043324596904,20097,5275,0,2.0,100000,27030.35114996601
Shinjuku,5.0,1.0,1.5,3.597195712079402,31.59034175932232,13.739300850948883,20097,5275,0,2.0,100000,27109.65023096651
Shinjuku,5.0,1.0,1.95,3.4450084729448385,31.4775356710148,13.732375335875597,20097,5275,0,2.0,100000,28001.086488948204
Shinjuku,5.0,1.5,1.5,3.283273000012638,32.041359693766886,13.860721109771262,20097,5275,0,2.0,100000,27549.205146031454
Shinjuku,5.0,1.5,1.95,3.294372566679731,31.84854658071334,13.777084129386933,20097,5275,0,2.0,100000,31656.848454033025
Shinjuku,5.0,2.0,1.5,3.3815386627177193,32.00133154285064,13.882265310841586,20097,5275,0,2.0,100000,27512.721684994176
Shinjuku,5.0,2.0,1.95,3.320888286534283,31.964686501686547,13.882475273202639,20097,5275,0,2.0,100000,36958.901960984804
Shinjuku,5.0,3.0,1.5,3.283826946753687,32.362598591885885,14.1602317817633,20097,5275,0,2.0,100000,45826.38344890438
