elapsed_ms,forward_p50,forward_p95,forward_rms_2d,n_epochs,position_update_sigma,predict_guide,run,sigma_pos,sigma_pos_tdcp,sigma_pos_tdcp_tight,smooth,smoothed_p50,smoothed_p95,smoothed_rms_2d,tag,tdcp_tight_rms_max_m
25899.119383015204,3.524162919960973,31.201367280484977,13.570833946479146,20097,2.5,tdcp,Shinjuku,2.0,1.0,,False,,,,tdcp_sp10_pu25,1000000000.0
26072.775489010382,3.3796549996805836,31.265330511441388,13.680438044835455,20097,2.0,tdcp,Shinjuku,2.0,1.0,,False,,,,tdcp_sp10_pu20,1000000000.0
26074.83672501985,3.8132885418121862,31.196558558292637,13.59050378028707,20097,3.0,tdcp,Shinjuku,2.0,1.0,0.8,False,,,,tdcp_sp08_t15,15.0
25994.96220803121,3.9693894630273014,30.642996074487645,13.529176887498426,20097,3.0,tdcp,Shinjuku,2.0,0.6,,False,,,,tdcp_sp06,1000000000.0
16110.79540103674,3.326173803213866,32.11099249951383,14.022467533706255,20097,2.6,spp,Shinjuku,2.0,,,False,,,,spp_pu26,1000000000.0
15810.341478034388,3.2739203784338176,31.659328303985493,13.770332652297787,20097,2.8,spp,Shinjuku,2.0,,,False,,,,spp_pu28,1000000000.0
15807.833521976136,3.282048164144157,32.0068218703177,13.89083716526841,20097,2.0,spp,Shinjuku,2.0,,,False,,,,spp_pu20,1000000000.0
15888.260928040836,3.2698020415165847,31.881206835857316,13.804059137599992,20097,1.8,spp,Shinjuku,2.0,,,False,,,,spp_pu18,1000000000.0
15787.458526028786,4.013680481761833,31.501135747470276,14.119113257791357,20097,3.0,spp,Shinjuku,1.2,,,False,,,,spp_sp12_pu30,1000000000.0
15694.366946001537,3.4051597293069182,31.833852819772588,13.81776545309093,20097,3.0,spp,Shinjuku,1.8,,,False,,,,spp_sp18_pu30,1000000000.0
15841.383908991702,3.2342186237050594,31.669782255180102,13.84946200307958,20097,3.0,spp,Shinjuku,2.2,,,False,,,,spp_sp22_pu30,1000000000.0
15828.360377054196,3.1663711062499083,32.045892188685784,13.999472003033198,20097,3.0,spp,Shinjuku,2.5,,,False,,,,spp_sp25_pu30,1000000000.0
18856.45411501173,3.277155131835861,31.63944051500988,13.982905593385576,20097,3.0,spp,Shinjuku,2.0,,,True,3.244421896642628,31.435790764838316,13.568377977644202,spp_baseline,1000000000.0
18411.240076005924,3.2548303117159896,31.99884223593485,13.855991227960196,20097,2.2,spp,Shinjuku,2.0,,,True,3.283458589269634,32.04831099924819,13.635040082705341,spp_pu22,1000000000.0
18415.790657978505,3.2915830882645514,31.65257015890106,13.798673078075325,20097,2.4,spp,Shinjuku,2.0,,,True,3.295736189117669,31.559109648292157,13.518885800109583,spp_pu24,1000000000.0
29642.42100296542,3.5425026339686663,30.92938548538063,13.439525077372808,20097,3.0,tdcp,Shinjuku,2.0,1.0,,True,3.2551274806717077,31.197927956460294,13.29201542848477,tdcp_sp10,1000000000.0
29669.67334697256,3.3796549996805836,31.265330511441388,13.680438044835455,20097,2.0,tdcp,Shinjuku,2.0,1.0,,True,3.2660523648321638,31.488061372768176,13.564382549391544,tdcp_sp10_pu20,1000000000.0
