blocked_threshold,disagreement_threshold_m,mean_blocked_epoch_frac,mean_catastrophic_rate_pct,mean_outlier_rate_pct,mean_p95,mean_rms_2d,method,n_segments,pf_rms_wins,positive_threshold,robust_rms_wins
0.005000,40.000000,0.180000,0.000000,38.333333,112.904795,90.374983,"PF-RichGate(b=0.005,p=0,d=40)",3,3,0.000000,2
0.005000,80.000000,0.143333,0.000000,38.333333,108.987553,89.941057,"PF-RichGate(b=0.005,p=0,d=80)",3,3,0.000000,2
0.005000,0.000000,0.153333,0.000000,38.666667,110.549375,91.665075,"PF-RichGate(b=0.005,p=0.25,d=0)",3,2,0.250000,2
0.005000,5.000000,0.153333,0.000000,38.666667,110.549375,91.665075,"PF-RichGate(b=0.005,p=0.25,d=5)",3,2,0.250000,2
0.005000,10.000000,0.150000,0.000000,38.666667,110.549375,91.673447,"PF-RichGate(b=0.005,p=0.25,d=10)",3,2,0.250000,2
0.005000,20.000000,0.140000,0.000000,38.666667,110.549375,91.695232,"PF-RichGate(b=0.005,p=0.25,d=20)",3,2,0.250000,2
0.005000,40.000000,0.136667,0.000000,38.666667,110.549375,91.716175,"PF-RichGate(b=0.005,p=0.25,d=40)",3,2,0.250000,2
0.005000,80.000000,0.106667,0.000000,38.666667,108.987553,91.428644,"PF-RichGate(b=0.005,p=0.25,d=80)",3,2,0.250000,2
0.005000,0.000000,0.140000,0.000000,38.666667,109.619872,91.669867,"PF-RichGate(b=0.005,p=0.5,d=0)",3,2,0.500000,2
0.005000,5.000000,0.140000,0.000000,38.666667,109.619872,91.669867,"PF-RichGate(b=0.005,p=0.5,d=5)",3,2,0.500000,2
0.005000,10.000000,0.136667,0.000000,38.666667,109.619872,91.678215,"PF-RichGate(b=0.005,p=0.5,d=10)",3,2,0.500000,2
0.005000,20.000000,0.126667,0.000000,38.666667,109.616582,91.699956,"PF-RichGate(b=0.005,p=0.5,d=20)",3,2,0.500000,2
0.005000,40.000000,0.123333,0.000000,38.666667,109.616582,91.720841,"PF-RichGate(b=0.005,p=0.5,d=40)",3,2,0.500000,2
