epoch,target,source,observation_id,stage,beta,n_rows,log_evidence
33,basin_pf,doppler_velocity,tow=179466.600,0,1.0,3,-2.384531678061593
34,float_kf,doppler_velocity,tow=179466.800,0,1.0,3,
34,ddpr_guard,doppler_velocity,tow=179466.800,0,1.0,3,
34,basin_pf,doppler_velocity,tow=179466.800,0,1.0,3,-2.3844316018704026
35,float_kf,doppler_velocity,tow=179467.000,0,1.0,3,
35,ddpr_guard,doppler_velocity,tow=179467.000,0,1.0,3,
35,basin_pf,doppler_velocity,tow=179467.000,0,1.0,3,-2.385260282657326
35,float_kf,dd_pseudorange,tow=179467.000,0,1.0,26,
35,ddpr_guard,dd_pseudorange,tow=179467.000,0,1.0,26,
35,float_kf,dd_carrier,tow=179467.000,0,1.0,26,
35,basin_pf,dd_pseudorange,tow=179467.000,0,1.0,26,-72.20313269669624
35,basin_pf,dd_carrier,tow=179467.000,0,1.0,26,13.4117606759278
36,float_kf,doppler_velocity,tow=179467.200,0,1.0,3,
36,ddpr_guard,doppler_velocity,tow=179467.200,0,1.0,3,
36,basin_pf,doppler_velocity,tow=179467.200,0,1.0,3,-2.355882557720328
37,float_kf,doppler_velocity,tow=179467.400,0,1.0,3,
37,ddpr_guard,doppler_velocity,tow=179467.400,0,1.0,3,
37,basin_pf,doppler_velocity,tow=179467.400,0,1.0,3,-2.381228873494167
38,float_kf,doppler_velocity,tow=179467.600,0,1.0,3,
38,ddpr_guard,doppler_velocity,tow=179467.600,0,1.0,3,
38,basin_pf,doppler_velocity,tow=179467.600,0,1.0,3,-2.3837001291865487
39,float_kf,doppler_velocity,tow=179467.800,0,1.0,3,
39,ddpr_guard,doppler_velocity,tow=179467.800,0,1.0,3,
39,basin_pf,doppler_velocity,tow=179467.800,0,1.0,3,-2.3847063493248766
40,float_kf,doppler_velocity,tow=179468.000,0,1.0,3,
40,ddpr_guard,doppler_velocity,tow=179468.000,0,1.0,3,
40,basin_pf,doppler_velocity,tow=179468.000,0,1.0,3,-2.384824292001346
40,float_kf,dd_pseudorange,tow=179468.000,0,1.0,26,
40,ddpr_guard,dd_pseudorange,tow=179468.000,0,1.0,26,
40,float_kf,dd_carrier,tow=179468.000,0,1.0,26,
40,basin_pf,dd_pseudorange,tow=179468.000,0,1.0,26,-72.19858447860442
40,basin_pf,dd_carrier,tow=179468.000,0,1.0,26,13.322169688325534
41,float_kf,doppler_velocity,tow=179468.200,0,1.0,3,
41,ddpr_guard,doppler_velocity,tow=179468.200,0,1.0,3,
41,basin_pf,doppler_velocity,tow=179468.200,0,1.0,3,-2.3543388915384313
42,float_kf,doppler_velocity,tow=179468.400,0,1.0,3,
42,ddpr_guard,doppler_velocity,tow=179468.400,0,1.0,3,
42,basin_pf,doppler_velocity,tow=179468.400,0,1.0,3,-2.3804879721464034
43,float_kf,doppler_velocity,tow=179468.600,0,1.0,3,
43,ddpr_guard,doppler_velocity,tow=179468.600,0,1.0,3,
43,basin_pf,doppler_velocity,tow=179468.600,0,1.0,3,-2.3879149780258895
44,float_kf,doppler_velocity,tow=179468.800,0,1.0,3,
44,ddpr_guard,doppler_velocity,tow=179468.800,0,1.0,3,
